label,domain_count,domain_count_pct
political,40,19.704433497536947
bias,37,18.226600985221676
conspiracy,30,14.77832512315271
,19,9.35960591133005
unknown,15,7.389162561576355
unreliable,13,6.403940886699508
clickbait,11,5.41871921182266
junksci,11,5.41871921182266
satire,10,4.926108374384237
fake,9,4.433497536945813
hate,5,2.4630541871921183
reliable,2,0.9852216748768473
rumor,1,0.49261083743842365
