Batch Size,Stage,Config,Duration - Median,Duration - Standard Deviation
1250,Stage 2,1a,824.67,18.901285141492355
1250,Stage 2,1b,911.12,112.77127914500225
1250,Stage 2,1c,541.0,22.389729788454336
1250,Stage 2,1d,996.0,32.76736181019156
2500,Stage 2,1a,1117.81,27.52903249298829
2500,Stage 2,1b,1710.55,16.936498457473416
2500,Stage 2,1c,656.0,16.798809481626964
2500,Stage 2,1d,1475.0,368.8254329625331
5000,Stage 2,1a,2361.9,67.81483930527298
5000,Stage 2,1b,3376.45,46.26370251071564
5000,Stage 2,1c,719.0,12.12435565298214
5000,Stage 2,1d,10920.0,4056.6020879548932
7500,Stage 2,1a,3389.87,125.8627272865165
7500,Stage 2,1b,5013.33,98.58144440004907
7500,Stage 2,1c,824.0,30.270447634615508
7500,Stage 2,1d,16102.0,182.7533857415507
10000,Stage 2,1a,4614.27,89.34052926863639
10000,Stage 2,1b,7104.61,105.96649361944571
10000,Stage 2,1c,821.0,6.542170893518459
10000,Stage 2,1d,21621.0,384.41318915978934
