[INFO ] 2021-10-10 23:08:54,978 [repositories/src_fake_news | c.o.t.m.MonitorRepositoryConnection] Incoming update:
[INFO ] 2021-10-10 23:18:49,322 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:18:50,801 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:18:52,104 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:18:53,450 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:18:54,850 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:18:56,192 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:18:57,513 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:18:58,860 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:00,200 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:01,603 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:03,066 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:04,454 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:05,832 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:07,181 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:08,517 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:09,943 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:11,425 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:12,841 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:14,323 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:15,687 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:17,148 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:18,476 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:19,918 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:21,329 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:22,658 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:24,093 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:25,581 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:27,015 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:28,372 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:29,792 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:31,228 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:32,705 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:34,434 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
[INFO ] 2021-10-10 23:19:35,950 [import-task-src_fake_news-1 | c.o.t.m.MonitorRepositoryConnection] Parallel mode requested but it is disabled globally. Using serial mode instead.
